cctv,#genre#
CCTV1,http://175.21.170.6:5000/hls/1/index.m3u8
CCTV2,http://36.49.52.39:8800/rtp/239.37.0.003:5540
CCTV3,http://113.128.226.58:8888/newlive/live/hls/4/live.m3u8
CCTV4,http://113.128.226.58:8888/newlive/live/hls/5/live.m3u8
CCTV5,http://113.128.226.58:8888/newlive/live/hls/6/live.m3u8
CCTV6,http://60.190.128.194:8888/newlive/live/hls/8/live.m3u8
CCTV7,http://113.128.226.58:8888/newlive/live/hls/9/live.m3u8
CCTV8,http://113.128.226.58:8888/newlive/live/hls/10/live.m3u8
CCTV9,http://60.190.128.194:8888/newlive/live/hls/11/live.m3u8
CCTV10,http://113.128.226.58:8888/newlive/live/hls/12/live.m3u8
CCTV11,http://113.128.226.58:8888/newlive/live/hls/13/live.m3u8
CCTV13,http://60.190.128.194:8888/newlive/live/hls/15/live.m3u8
CCTV14,http://64.140.167.170:8080/live/fjydcctv14/hls.m3u8
CCTV15,http://113.128.226.58:8888/newlive/live/hls/17/live.m3u8

