cctv,#genre#
CCTV1,http://175.21.170.6:5000/hls/1/index.m3u8
CCTV2,https://node1.olelive.com:6443/live/CCTV2HD/hls.m3u8
CCTV3,http://36.49.52.39:8800/rtp/239.37.0.231:5540
CCTV4,http://64.140.167.170:8080/live/fjydcctv4/hls.m3u8
CCTV5,http://60.190.128.194:8888/newlive/live/hls/6/live.m3u8
CCTV6,http://60.190.128.194:8888/newlive/live/hls/8/live.m3u8
CCTV7,http://64.140.167.170:8080/live/fjydcctv7/hls.m3u8
CCTV8,http://iku.sunnyli.link:4144/udp/239.252.219.253:5140
CCTV9,http://60.190.128.194:8888/newlive/live/hls/11/live.m3u8
CCTV10,http://60.190.128.194:8888/newlive/live/hls/12/live.m3u8
CCTV11,http://60.190.128.194:8888/newlive/live/hls/13/live.m3u8
CCTV12,http://113.128.226.58:8888/newlive/live/hls/14/live.m3u8
CCTV13,http://60.190.128.194:8888/newlive/live/hls/15/live.m3u8
CCTV14,http://60.190.128.194:8888/newlive/live/hls/16/live.m3u8
CCTV15,http://117.32.85.166:8010/rtp/239.112.205.214:5140

lstv,#genre#
北京卫视,http://60.190.128.194:8888/newlive/live/hls/19/live.m3u8
湖南卫视,http://60.190.128.194:8888/newlive/live/hls/23/live.m3u8
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
江苏卫视,http://60.190.128.194:8888/newlive/live/hls/22/live.m3u8
东方卫视,http://60.190.128.194:8888/newlive/live/hls/20/live.m3u8
河南卫视,http://60.190.128.194:8888/newlive/live/hls/33/live.m3u8
山东卫视,http://tvbox.netsite.cc/proxy/1400078770/1400078770.m3u8
河北卫视,http://tv.pull.hebtv.com/jishi/weishipindao.m3u8?t=2510710360&k=f1b16a3a3866dafecb94ec2bb4160e58
辽宁卫视,http://175.168.46.94:8888/rtp/232.0.0.126:1234
安徽卫视,http://113.128.226.58:8888/newlive/live/hls/25/live.m3u8
重庆卫视,http://113.128.226.58:8888/newlive/live/hls/31/live.m3u8
四川卫视,http://113.128.226.58:8888/newlive/live/hls/36/live.m3u8
天津卫视,http://113.128.226.58:8888/newlive/live/hls/26/live.m3u8
吉林卫视,http://live.ybtvyun.com/video/s10016-7e5f23de35df/index.m3u8
黑龙江卫视,http://113.128.226.58:8888/newlive/live/hls/30/live.m3u8
云南卫视,http://tvlive.ynradio.com/live/yunnanweishi/chunks.m3u8
广东卫视,http://113.128.226.58:8888/newlive/live/hls/29/live.m3u8
广西卫视,http://60.190.128.194:8888/newlive/live/hls/26/live.m3u8
贵州卫视,http://60.190.128.194:8888/newlive/live/hls/29/live.m3u8
深圳卫视,http://171.14.92.209:808/hls/75/index.m3u8
湖北卫视,http://60.190.128.194:8888/newlive/live/hls/34/live.m3u8
东南卫视,http://113.128.226.58:8888/newlive/live/hls/40/live.m3u8
山西卫视,http://tvbox.netsite.cc/proxy/825435414/825435414.m3u8
陕西卫视,http://171.14.92.209:808/hls/70/index.m3u8
甘肃卫视,http://113.128.226.58:8888/newlive/live/hls/39/live.m3u8
内蒙古卫视,http://60.190.128.194:8888/newlive/live/hls/41/live.m3u8
宁夏卫视,http://60.190.128.194:8888/newlive/live/hls/39/live.m3u8
新疆卫视,http://106.124.91.222:9901/tsfile/live/21212_1.m3u8
西藏卫视,http://60.190.128.194:8888/newlive/live/hls/37/live.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
三沙卫视,http://61.138.128.226:19901/tsfile/live/1020_1.m3u8
金鹰卡通,http://tvbox.netsite.cc/proxy/1947104640/1947104640.m3u8
星空卫视,http://171.108.239.76:8181/tsfile/live/1012_1.m3u8

hktv,#genre#
凤凰中文,http://171.223.215.229:4000/udp/239.93.0.162:2192
凤凰资讯,http://222.217.243.135:8181/tsfile/live/1015_1.m3u8

