lstv,#genre#
北京卫视,http://60.190.128.194:8888/newlive/live/hls/19/live.m3u8
湖南卫视,http://113.218.218.5:8001/tsfile/live/0128_1.m3u8
浙江卫视,http://64.140.167.170:8080/live/ydws7/hls.m3u8
江苏卫视,http://60.190.128.194:8888/newlive/live/hls/22/live.m3u8
东方卫视,http://60.190.128.194:8888/newlive/live/hls/20/live.m3u8
河南卫视,http://60.190.128.194:8888/newlive/live/hls/33/live.m3u8
山东卫视,http://113.128.226.58:8888/newlive/live/hls/19/live.m3u8
河北卫视,http://113.128.226.58:8888/newlive/live/hls/34/live.m3u8
辽宁卫视,http://113.128.226.58:8888/newlive/live/hls/27/live.m3u8
安徽卫视,http://64.140.167.170:8080/live/ydws9/hls.m3u8
重庆卫视,http://113.128.226.58:8888/newlive/live/hls/31/live.m3u8
四川卫视,http://113.128.226.58:8888/newlive/live/hls/36/live.m3u8
天津卫视,http://113.128.226.58:8888/newlive/live/hls/26/live.m3u8
吉林卫视,http://113.128.226.58:8888/newlive/live/hls/38/live.m3u8
黑龙江卫视,http://113.128.226.58:8888/newlive/live/hls/30/live.m3u8
云南卫视,http://tvlive.ynradio.com/live/yunnanweishi/chunks.m3u8
广东卫视,http://113.128.226.58:8888/newlive/live/hls/29/live.m3u8
广西卫视,http://113.128.226.58:8888/newlive/live/hls/44/live.m3u8
贵州卫视,http://113.128.226.58:8888/newlive/live/hls/32/live.m3u8
深圳卫视,http://171.14.92.209:808/hls/75/index.m3u8
湖北卫视,http://113.128.226.58:8888/newlive/live/hls/41/live.m3u8
东南卫视,http://113.128.226.58:8888/newlive/live/hls/40/live.m3u8
山西卫视,http://80ec27bff7f9ae80b961481da488e302.livehwc3.cn/liveflash.sxrtv.com/live/sxwshd.m3u8?sub_m3u8=true&edge_slice=true&user_session_id=d04ce01474da4193c8863ea281ec4759
陕西卫视,http://171.14.92.209:808/hls/70/index.m3u8
甘肃卫视,http://113.128.226.58:8888/newlive/live/hls/39/live.m3u8
内蒙古卫视,http://60.190.128.194:8888/newlive/live/hls/41/live.m3u8
宁夏卫视,http://stream.nxtv.com.cn/wspd/sd/live.m3u8?_upt=a94c8b981714334210
新疆卫视,http://113.128.226.58:8888/newlive/live/hls/49/live.m3u8
西藏卫视,http://60.190.128.194:8888/newlive/live/hls/37/live.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
金鹰卡通,http://tvbox.netsite.cc/proxy/1947104640/1947104640.m3u8
星空卫视,http://183.237.246.14:9931/tsfile/live/1039_1.m3u8

